Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH
I1,14-09-2002,Bologna,Roma,2,1,H,0,1,A,2.8,2.875,2.375,3.05,2.9,2.35,2.9,2.8,2.3,2.8,2.875,2.375,3,2.88,2.3,3,2.875,2.375,3,2.8,2.3,2.05,1.75,G. Paparesta,15,9,9,4,18,23,9,3,1,4,0,0,2.2,2.87,3.25,2.25,2.9,3.2,2.15,2.9,3.4,2.2,2.8,3.1,2.2,2.8,3.2,2.25,2.9,3.4,2.25,2.87,3,2.2
I1,14-09-2002,Como,Empoli,0,2,A,0,1,A,2,2.875,3.6,2.11,3,3.7,1.9,2.8,4,1.909,3,3.75,2,3,3.5,2,3,3.75,1.9,3,3.75,2,1.77,G. Rocchi,17,6,7,5,27,21,9,2,2,3,0,0,1.9,2.9,4,1.9,3.2,3.8,1.85,3.15,4.1,1.9,3,3.6,1.91,3,3.75,1.95,3,4.2,1.9,2.87,4,2
I1,14-09-2002,Inter,Torino,1,0,H,1,0,H,1.333,4,8,1.33,4.25,10,1.3,4,8.5,1.364,3.75,8,1.3,4.33,8.5,1.3,4.333,10,1.3,4,9.5,1.67,1.95,M. De Santis,8,16,3,9,22,16,0,5,2,1,0,0,7.5,3.75,1.4,9,4.5,1.3,9,4.35,1.3,6.5,3.7,1.4,8,3.75,1.36,10,4.75,1.3,8,3.75,1.36,10
I1,14-09-2002,Modena,Milan,0,3,A,0,1,A,4.333,3.2,1.727,4.5,3.2,1.75,4.2,3.1,1.75,4.333,3.2,1.727,5,3.1,1.67,4.75,3.1,1.75,4.5,2.9,1.8,1.9,1.86,P. Tagliavento,16,7,9,3,13,20,6,1,1,3,0,0,1.16,5.5,13,1.16,5.9,15,1.15,5.6,16,1.17,5.5,11,1.17,5.5,12,1.17,5.75,15,1.16,5,15,1.2
I1,15-09-2002,Brescia,Piacenza,1,2,A,0,0,D,1.909,3,3.75,2.05,2.95,4,1.9,2.8,4,2,2.875,3.6,1.91,3,3.8,1.909,3,4,1.9,2.87,4,1.95,1.65,M. Trefoloni,16,2,7,0,16,12,6,2,1,2,0,0,1.25,5,13,1.22,5.5,10,1.2,5.15,13,1.2,5,10,1.2,5,11,1.22,5.5,12,1.22,5,9.5,1.22
I1,15-09-2002,Juventus,Atalanta,3,0,H,2,0,H,1.333,4,8,1.36,4.3,9,1.3,4,8.5,1.364,3.75,8,1.33,4,8.5,1.333,4.2,9,1.28,4.2,9,1.75,1.92,P. Dondarini,7,16,4,7,18,20,6,10,3,1,0,0,1.9,3.1,3.75,1.9,3.1,4,1.9,3.1,3.8,1.9,3,3.6,1.83,3,4,1.91,3,4.2,1.83,3,4,1.8
I1,15-09-2002,Lazio,Chievo,2,3,A,1,1,D,1.667,3.25,4.5,1.74,3.3,5,1.65,3.2,4.6,1.667,3.25,4.5,1.62,3.4,5,1.667,3.3,5,1.61,3.1,5.5,1.67,2.01,T. Pieri,8,14,3,9,18,9,3,8,3,0,0,0,2.4,2.87,2.87,2.55,2.9,2.75,2.5,2.9,2.8,2.4,2.8,2.8,2.38,2.88,2.8,2.38,2.88,3,2.3,2.8,3,2.5
I1,15-09-2002,Perugia,Reggina,2,0,H,0,0,D,1.727,3.1,4.5,1.94,3,4.65,1.8,2.9,4.2,1.8,3,4.333,1.8,3,4.5,1.75,3,4.75,1.83,2.87,4.33,1.95,1.72,R. Rosetti,5,13,3,9,19,18,2,4,0,0,1,0,3.5,3,2,3.9,3.15,1.9,4.1,3.15,1.85,3.6,2.8,2,3.4,2.88,2.1,3.75,3,2,3.6,2.87,2,3.75
I1,15-09-2002,Udinese,Parma,1,1,D,0,1,A,2.3,3,2.8,2.4,3,3,2.3,2.9,2.8,2.25,3,2.875,2.25,3,3,2.3,3,3,2.37,2.8,2.9,1.8,1.98,C. Brighi,10,9,6,6,21,19,4,4,2,2,1,0,2.2,3,3.1,2.2,2.9,3.3,2.2,3,3.15,2.1,2.8,3.3,2.2,2.8,3.2,2.2,2.88,3.4,2.2,2.87,3.1,2.1
I1,21-09-2002,Empoli,Juventus,0,2,A,0,1,A,4.333,3.2,1.727,5,3.2,1.83,4,3,1.8,,,,4,3.2,1.8,4.2,3.2,1.8,4.5,2.87,1.8,1.85,1.75,A. De Marco,12,8,8,4,20,12,6,5,2,1,0,0,1.57,3.25,6,1.6,3.4,5.5,1.57,3.4,5.75,1.55,3.4,5,1.57,3.2,6,1.53,3.4,6.5,1.53,3.5,5.5,1.57
I1,21-09-2002,Milan,Perugia,3,0,H,1,0,H,1.286,4.5,8,1.33,4.25,11,1.3,4.2,8,,,,1.29,4.33,9.5,1.3,4.333,9.5,1.3,4,9.5,1.71,1.95,S. Farina,21,7,11,3,7,16,3,4,1,2,0,0,1.2,5,12,1.16,6.4,12.5,1.18,5.5,14,1.22,4.8,9.5,1.17,5.5,12,1.2,5.75,13,1.2,5,11,1.2
I1,22-09-2002,Atalanta,Bologna,2,2,D,1,1,D,2.2,3,3,2.25,2.95,3.3,2.2,2.8,3.1,,,,2.2,3,3.1,2.2,3.1,3,2.25,2.8,3.1,1.75,1.9,G. Paparesta,24,15,13,6,15,14,9,6,2,1,0,0,3.5,3,2,3.65,3.05,2,3.8,3,2,3.4,2.9,2,3.75,3,1.91,4,3,2,3.6,2.87,2,3.75
I1,22-09-2002,Chievo,Brescia,1,2,A,0,0,D,1.667,3.25,4.5,1.7,3.2,4.9,1.75,3.2,4,,,,1.73,3.2,4.5,1.727,3.2,4.6,1.61,3.1,5.5,1.7,1.93,P. Bertini,9,6,3,3,12,16,6,6,2,2,1,0,2.25,3,3,2.15,2.9,3.45,2.2,3,3.2,2.2,2.8,3.1,2.25,2.88,3,2.25,3,3.3,2.3,3,2.8,2.2
I1,22-09-2002,Parma,Como,2,0,H,1,0,H,1.5,3.4,6,1.5,3.4,7,1.6,3.3,4.8,,,,1.5,3.5,6,1.5,3.5,6.5,1.44,3.4,7,1.7,1.9,O. Girardi,12,5,8,2,16,15,9,2,1,1,0,0,2.2,2.87,3.2,2.25,2.75,3.45,2.2,2.8,3.45,2.1,2.8,3.4,2.25,2.88,3,2.3,2.88,3.2,2.15,2.8,3.3,2.25
I1,22-09-2002,Piacenza,Udinese,2,0,H,1,0,H,2.1,3,3.2,2.23,2.9,3.3,2.1,2.8,3.3,,,,2.2,3,3.1,2.2,3,3.2,2.1,2.87,3.3,1.75,1.85,A. Dattilo,9,13,1,8,16,23,3,6,1,0,0,0,5.5,3.75,1.5,6.75,3.75,1.45,7,3.75,1.45,5.2,3.3,1.55,7,3.75,1.4,7.5,3.6,1.5,6.5,3.6,1.44,8.5
I1,22-09-2002,Reggina,Inter,1,2,A,0,1,A,4,3,1.833,5,3.2,1.82,3.6,3,1.9,,,,4.2,3,1.83,4.2,3.1,1.85,4,3,1.83,1.88,1.75,A. Romeo,9,6,6,4,18,9,9,2,2,3,0,1,1.72,3.2,4.5,1.75,3.1,4.9,1.67,3.15,5.4,1.8,2.9,4.2,1.67,3.25,4.5,1.75,3.1,4.8,1.72,3.2,4.33,1.73
I1,22-09-2002,Roma,Modena,1,2,A,1,1,D,1.222,5,9,1.25,4.75,11,1.25,4.5,9,,,,1.25,4.5,11,1.25,4.6,11,1.22,4.5,12,1.65,1.95,P. Rodomonti,8,12,4,7,19,20,7,7,3,3,0,0,2.5,2.87,2.75,2.7,2.8,2.7,2.65,2.9,2.65,2.4,2.8,2.8,2.5,2.88,2.62,2.62,2.88,2.7,2.6,2.8,2.6,2.5
I1,22-09-2002,Torino,Lazio,0,1,A,0,0,D,2.4,3,2.7,2.55,2.87,2.85,2.4,2.8,2.8,,,,2.5,3,2.6,2.5,3,2.7,2.5,2.8,2.7,1.8,1.8,D. Messina,13,10,4,5,15,20,7,4,0,4,0,0,1.83,3,4.33,1.77,3.2,4.5,1.8,3.2,4.25,1.75,3,4.4,1.8,3.2,4,1.83,3.1,4.33,1.83,3,4,1.83
I1,28-09-2002,Juventus,Parma,2,2,D,0,0,D,1.4,3.6,7.5,1.42,3.8,7.75,1.45,3.7,5.6,1.4,3.75,7,1.44,3.6,7,1.44,3.75,7,1.44,3.5,7,1.77,1.9,L. Palanca,16,11,7,7,22,24,5,5,1,3,0,1,1.53,3.5,5.5,1.5,3.6,6.5,1.45,3.6,7.5,1.55,3.3,5.2,1.5,3.25,6.5,1.5,3.5,7,1.5,3.4,6,1.5
I1,28-09-2002,Lazio,Milan,1,1,D,0,1,A,2.875,3,2.25,3.1,3.2,2.32,2.8,2.8,2.4,2.75,3,2.38,3,3,2.25,2.875,3.1,2.25,2.8,2.9,2.37,1.77,1.9,M. Saccani,4,7,2,4,14,19,3,6,3,2,0,0,2.5,2.87,2.75,2.5,2.8,2.9,2.55,2.85,2.8,2.4,2.8,2.8,2.5,2.88,2.62,2.5,2.88,2.88,2.5,2.8,2.75,2.5
I1,29-09-2002,Bologna,Piacenza,1,0,H,0,0,D,1.727,3.1,4.5,1.92,3.1,3.9,1.9,3,3.6,1.73,3.2,4.33,1.8,3,4.33,1.83,3,4.33,1.8,2.9,4.5,1.8,1.82,T. Pieri,12,7,8,5,16,19,5,3,1,1,0,0,1.22,5.5,13,1.2,5.2,14,1.2,5.2,13,1.22,4.8,9.5,1.2,5,11,1.222,5.5,12,1.22,5,9.5,1.22
I1,29-09-2002,Brescia,Roma,2,3,A,1,2,A,2.8,3,2.3,3.17,3,2.24,2.8,2.9,2.3,2.75,3,2.38,3,3,2.25,3.1,3,2.2,3.1,2.8,2.25,1.9,1.7,M. Bergonzi,27,16,12,3,22,19,10,7,1,0,0,0,1.8,3.1,5,1.75,3.15,4.7,1.75,3.1,4.75,1.85,2.8,4.2,1.67,3.2,5,1.8,3.2,4.333,1.7,3,5,1.8
I1,29-09-2002,Como,Reggina,1,1,D,1,0,H,2.1,3,3.2,2.11,3,3.6,2,2.8,3.6,2.1,3,3.2,2.2,3,3.1,2.2,3,3.2,2,2.9,3.6,1.9,1.7,A. Giannoccaro,16,8,8,5,20,25,8,4,1,4,0,0,2.1,2.9,3.8,2.25,2.85,3.25,2.15,2.9,3.4,2.1,2.8,3.3,2.1,2.8,3.5,2.2,2.875,3.4,2,2.87,3.6,2.1
I1,29-09-2002,Inter,Chievo,2,1,H,1,1,D,1.5,3.4,6,1.51,3.75,5.75,1.5,3.6,5.2,1.44,3.6,6.5,,,,1.5,3.5,6.5,1.5,3.4,6,1.7,1.95,P. Dondarini,11,14,6,9,24,21,4,3,0,3,0,0,2.2,3,3.4,2.25,2.9,3.25,2.2,2.9,3.3,2.2,2.7,3.3,2.25,3,2.88,2.3,2.875,3.2,2.2,2.8,3.2,2.25
I1,29-09-2002,Modena,Torino,2,1,H,1,0,H,2.375,3,3,2.33,2.85,3.15,2.2,2.9,3,2.25,3,2.88,2.25,3,3,2.3,3,3,2.25,2.9,3,1.9,1.7,P. Tagliavento,17,12,7,5,18,16,8,6,2,2,0,0,1.16,6.5,15,1.11,7.15,17,1.13,6.5,17,1.17,5.5,11,1.14,6,13,1.142,6,17,1.14,6,12,1.15
I1,29-09-2002,Perugia,Empoli,1,3,A,1,2,A,1.833,3,4,1.79,3.2,4.5,1.8,3,4,1.8,3.2,4,1.83,3.1,4,1.75,3.1,4.5,1.72,3.2,4.33,1.75,1.9,P. Mazzoleni,13,5,6,1,23,23,7,1,0,0,0,1,1.61,3.4,6,1.65,3.15,5.75,1.57,3.25,6.5,1.6,3.3,4.8,1.44,3.4,7,1.571,3.4,6,1.53,3.25,6,1.57
I1,29-09-2002,Udinese,Atalanta,1,0,H,0,0,D,2.1,3,3.2,2.13,3,3.4,2.2,2.9,3,2.1,3,3.2,2.1,3.2,3.1,2.1,3.2,3.2,2.1,2.8,3.4,1.75,1.85,M. Trefoloni,6,8,4,5,17,13,5,3,2,2,0,0,3.4,3,2.2,3.1,3.1,2.2,3.2,3.1,2.15,2.8,2.9,2.3,3.1,2.8,2.25,3.4,3,2.2,3,3,2.2,3.2
I1,05-10-2002,Reggina,Brescia,2,2,D,1,2,A,2.2,2.8,3.2,2.17,2.9,3.4,2.1,2.9,3.2,2.2,2.8,3.2,2.2,3.2,2.88,2.1,3,3.4,2.1,2.87,3.3,1.75,1.85,S. Racalbuto,16,8,8,5,11,12,5,3,3,2,0,1,2.37,2.87,3.25,2.3,2.85,3.15,2.3,2.8,3.25,2.3,2.7,3,2.38,3,2.75,2.3,2.8,3.25,2.2,2.87,3.1,2.3
I1,05-10-2002,Roma,Udinese,4,1,H,1,0,H,1.333,4,8,1.4,3.8,9,1.45,3.8,5.4,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,8,1.33,4,8,1.65,1.95,P. Bertini,7,12,4,5,20,16,4,7,3,1,0,0,4.5,3.2,1.83,4.2,3.15,1.83,4.4,3.1,1.8,4.2,2.8,1.85,4,3.2,1.8,4.333,3.1,1.909,4,3,1.83,3.9
I1,06-10-2002,Atalanta,Lazio,0,1,A,0,1,A,2.5,3.1,2.5,2.8,2.95,2.4,2.6,2.8,2.6,2.62,2.88,2.5,2.6,3,2.5,2.75,3,2.4,2.7,2.8,2.5,1.85,1.75,G. Rocchi,10,14,3,10,13,15,4,6,3,2,0,0,2.6,2.87,2.6,2.75,2.85,2.6,2.75,2.9,2.55,2.7,2.7,2.6,2.62,2.88,2.5,2.7,2.875,2.6,2.6,2.8,2.6,2.7
I1,06-10-2002,Chievo,Modena,2,0,H,1,0,H,1.727,3.2,4.333,1.85,3.2,4.55,1.75,3.1,4.2,1.73,3.2,4.33,1.67,3.25,4.75,1.727,3.2,4.75,1.66,3.3,4.5,1.65,1.95,N. Stefanini,7,8,2,4,28,19,3,3,1,2,0,0,2.3,2.9,3.25,2.45,2.9,2.9,2.4,2.85,3,2.4,2.7,2.9,2.25,2.88,3,2.38,2.8,3.1,2.3,2.9,2.9,2.38
I1,06-10-2002,Empoli,Bologna,0,0,D,0,0,D,2.25,3,2.875,2.37,2.9,3,2.4,2.8,2.8,2.25,3,2.88,2.38,3,2.75,2.375,3,2.875,2.37,2.8,2.87,1.8,1.8,E. Morganti,6,17,2,10,22,18,1,7,2,2,0,0,5.5,3.1,1.72,4.9,3.25,1.7,5,3.2,1.7,4.2,3.1,1.75,4.33,3,1.8,4.75,3.3,1.7,4.8,3,1.72,4.5
I1,06-10-2002,Juventus,Como,1,1,D,0,0,D,1.167,5.5,11,1.19,5.75,16.5,1.2,5,10,1.2,5,11,1.2,5.5,10,1.2,5.5,11,1.14,6,12,1.55,2.1,N. Rizzoli,8,9,4,5,22,16,8,5,3,2,0,0,2.3,2.9,3.3,2.35,2.9,3,2.3,2.9,3.1,2.3,2.7,3,2.25,2.88,3,2.4,2.88,3,2.3,2.9,2.9,2.38
I1,06-10-2002,Milan,Torino,6,0,H,3,0,H,1.286,4.333,8.5,1.28,4.72,12,1.3,4.2,8,1.25,4.5,10,1.3,4.33,8.5,1.3,4.333,9.5,1.25,4.5,10,1.65,1.95,M. De Santis,10,14,4,9,18,16,2,6,3,1,1,0,3.75,3,2.1,3.75,3,2,3.3,3,2.15,2.8,2.8,2.4,3.4,3,2,3.4,3,2.1,3.2,3,2.1,4
I1,06-10-2002,Parma,Perugia,2,2,D,1,0,H,1.533,3.4,5.5,1.6,3.4,6,1.6,3.3,4.8,1.53,3.25,6,1.57,3.4,5.5,1.571,3.3,6,1.57,3.1,6,1.7,1.9,R. Rosetti,10,5,7,3,16,13,7,1,1,0,0,0,2.2,2.87,3.6,2.2,2.8,3.45,2.15,2.9,3.4,2.2,2.7,3.2,2.1,3,3.2,2.25,2.88,3.2,2.1,3,3.2,2.2
I1,06-10-2002,Piacenza,Inter,1,4,A,0,1,A,3.75,3,1.909,3.6,3.1,2.2,3.3,3,2,3.4,3,2,3.5,3,2,3.6,3,2.05,3.75,2.8,2,1.9,1.7,D. Messina,12,8,7,3,17,14,5,2,0,1,0,0,1.4,4,9,1.3,4.65,8.5,1.36,4,8.5,1.4,3.7,6.5,1.4,3.5,8,1.4,4,8.5,1.36,3.75,8,1.33
I1,19-10-2002,Empoli,Roma,1,3,A,0,2,A,3.6,2.875,2,3.81,3.1,2,3.2,3.1,2,3.4,3,2,4,3,1.91,4,3,1.909,4,2.87,1.9,1.8,1.83,P. Rodomonti,16,8,10,3,17,19,10,5,2,4,0,0,1.44,3.8,7,1.4,3.75,8.25,1.45,3.6,7.25,1.4,3.7,6.5,1.4,3.5,8,1.5,3.6,6.5,1.44,3.5,7,1.44
I1,19-10-2002,Inter,Juventus,1,1,D,0,0,D,2.25,2.875,3,2.2,3,3.37,2.3,2.8,2.9,2.2,3,3,2.2,3,3.1,2.25,3,3.1,2.2,2.8,3.2,1.8,1.83,D. Tombolini,18,8,12,2,17,14,7,6,2,3,0,0,1.57,3.6,6,1.55,3.4,6.25,1.55,3.4,6,1.6,3.3,4.8,1.57,3.25,5.5,1.57,3.4,6,1.53,3.5,5.5,1.57
I1,20-10-2002,Atalanta,Milan,1,4,A,1,2,A,4,3,1.833,4.2,3.15,1.82,4.2,3.2,1.7,4,3.2,1.8,4,3.2,1.8,4.5,3.2,1.7,4,3,1.83,1.85,1.9,L. Banti,11,9,4,6,15,12,3,5,3,0,0,0,3.75,3,2,3.9,3,1.97,3.5,3,2.05,3.1,2.8,2.2,3.4,3,2,3.4,3,2.1,3.4,3,2,3.6
I1,20-10-2002,Bologna,Brescia,3,0,H,1,0,H,1.727,3.1,4.5,1.8,3.15,4.65,1.8,3,4,1.73,2.88,5,1.8,3.1,4.33,1.75,3.1,4.5,1.72,2.9,5,1.75,1.95,N. Ayroldi,6,7,3,3,24,18,3,1,3,1,0,0,4,3,2,3.75,3.1,1.95,3.75,3.1,1.95,3.6,3,1.9,3.6,2.88,2,3.75,3.1,2.05,4,2.87,1.9,3.75
I1,20-10-2002,Como,Piacenza,1,1,D,1,1,D,2.2,2.875,3.1,2.15,3,3.3,2,2.9,3.4,2.2,2.8,3.2,2.25,3,3,2.25,3,3.1,2.25,2.8,3.1,2,1.75,T. Pieri,5,8,3,6,27,27,2,5,3,3,0,0,6,3.4,1.61,6,3.25,1.6,5.65,3.3,1.6,4.4,3.1,1.7,5,3.2,1.67,6,3.4,1.62,5.5,3.3,1.57,6.5
I1,20-10-2002,Lazio,Perugia,3,0,H,1,0,H,1.444,3.6,6.5,1.49,3.65,6.5,1.4,3.7,6.5,1.44,3.6,6.5,1.5,3.5,6.5,1.5,3.5,6.5,1.44,3.5,7,1.72,1.94,M. Gabriele,6,7,4,3,20,26,4,7,4,3,0,1,3.5,3,2.2,3.5,3.1,2.05,3.3,3,2.15,2.9,2.8,2.3,3,3.2,2.1,3.1,3.1,2.2,3,3,2.2,3.4
I1,20-10-2002,Modena,Parma,2,1,H,0,1,A,2.7,3,2.4,2.7,3.1,2.75,2.65,2.9,2.45,2.62,2.88,2.5,2.6,3,2.5,2.875,3,2.375,2.62,2.9,2.5,1.89,1.85,A. Dattilo,8,12,3,5,12,17,2,3,2,2,0,0,3.75,3.2,2,3.8,3.25,1.9,3.5,3.1,2,3.2,2.9,2.1,3.4,3,2,3.6,3.1,2,3.2,2.9,2.15,3.4
I1,20-10-2002,Torino,Chievo,1,0,H,1,0,H,2.375,3,2.7,2.6,3,2.85,2.2,2.9,3,2.38,2.88,2.8,2.4,3,2.8,2.4,3,2.8,2.4,2.9,2.75,1.8,1.85,O. Pantana,5,12,2,2,21,24,3,5,1,4,0,0,2,3.2,3.75,1.95,3.05,3.85,2,3.1,3.5,2,2.9,3.4,1.91,3.2,3.5,2,3.1,3.6,2.15,2.9,3.2,2
I1,20-10-2002,Udinese,Reggina,1,0,H,0,0,D,1.727,3.2,4.333,1.75,3.35,4.65,1.7,3.1,4.4,1.73,3.2,4.33,1.73,3.2,4.33,1.727,3.2,4.6,1.72,3.1,4.5,1.8,1.85,S. Farina,17,4,7,2,26,20,6,3,2,3,0,0,1.61,3.4,6,1.7,3.2,5,1.57,3.4,5.75,1.65,3.2,4.6,1.62,3.25,5,1.57,3.6,6,1.5,3.4,6,1.62
I1,26-10-2002,Chievo,Milan,3,2,H,1,0,H,4,3.1,1.8,4.35,3.45,1.8,3.8,3.1,1.8,4,3.2,1.8,4.2,3.1,1.8,4.5,3.1,1.727,4,3,1.83,1.7,2.05,M. Saccani,8,10,5,4,23,21,8,7,2,3,0,0,2.6,2.9,2.9,2.7,2.8,2.7,2.35,2.9,3,2.4,2.8,2.8,2.25,3,2.88,2.38,3,2.88,2.2,3,3,2.38
I1,26-10-2002,Juventus,Udinese,1,0,H,0,0,D,1.3,4,9.5,1.33,4.36,9.5,1.3,4.2,8,1.36,3.75,8,1.33,4.33,7.5,1.333,4.333,7.5,1.28,4.33,8.5,1.75,1.9,C. Brighi,9,5,2,2,10,15,4,3,0,2,0,1,1.72,3.1,5.5,1.67,3.1,5.6,1.65,3.15,5.5,1.75,3,4.4,1.57,3.25,5.5,1.7,3.2,5,1.66,3.3,4.5,1.62
I1,27-10-2002,Brescia,Como,1,1,D,0,0,D,1.727,3.1,4.5,1.81,3.1,4.9,1.85,2.8,4.2,1.8,3.2,4,1.73,3.2,4.5,1.727,3.2,4.5,1.8,3,4.2,1.85,1.83,S. Cassara',8,10,5,6,18,26,6,7,2,4,0,0,1.66,3.2,6,1.67,3.1,5.6,1.6,3.3,5.65,1.6,3.2,5,1.57,3.25,5.5,1.62,3.3,5.5,1.57,3.3,5.5,1.62
I1,27-10-2002,Inter,Bologna,2,0,H,0,0,D,1.5,3.25,6.5,1.58,3.4,7,1.45,3.6,5.8,1.44,3.5,7,1.53,3.4,6,1.533,3.4,6,1.5,3.4,6,1.75,1.96,A. De Marco,12,6,5,3,17,16,6,2,1,2,0,0,2.2,3,3.4,2.2,2.8,3.5,2.15,2.95,3.35,2.2,2.7,3.2,2.1,3,3.2,2.25,2.88,3.25,2.05,3,3.3,2.2
I1,27-10-2002,Lazio,Roma,2,2,D,0,0,D,2.625,2.75,2.625,2.78,2.9,2.77,2.6,2.8,2.6,2.6,2.8,2.6,2.6,2.88,2.6,2.6,2.875,2.6,2.62,2.87,2.5,1.77,1.91,L. Palanca,6,12,2,6,22,13,4,2,3,0,0,0,9,4.33,1.36,8.75,3.95,1.37,9,3.95,1.35,6.5,3.7,1.4,9,3.75,1.33,10,4.33,1.33,9,3.75,1.33,8.5
I1,27-10-2002,Parma,Atalanta,2,1,H,1,0,H,1.5,3.4,6,1.58,3.4,5.85,1.55,3.5,4.8,1.57,3.25,5.5,1.53,3.4,6,1.533,3.4,6,1.53,3.4,5.5,1.75,1.92,M. Mazzoleni,11,7,0,3,24,22,6,4,3,2,0,0,1.53,3.5,7,1.57,3.15,7,1.53,3.4,6.5,1.55,3.4,5,1.5,3.4,6,1.57,3.3,7,1.53,3.5,5.5,1.53
I1,27-10-2002,Perugia,Modena,2,0,H,2,0,H,1.909,3,3.75,1.9,3.15,4.3,1.85,2.8,4.2,1.91,3,3.75,1.83,3.1,4,1.85,3.1,4,1.9,3,3.75,1.83,1.85,R. Rosetti,19,6,10,1,18,25,10,1,2,3,0,0,1.9,3.1,4.33,1.9,3.1,4,1.85,3.1,4.15,2,2.8,3.6,1.91,3.2,3.5,1.91,3.1,4.2,1.9,3,3.75,2
I1,27-10-2002,Piacenza,Empoli,1,2,A,1,1,D,1.909,3,3.75,1.96,3.1,3.96,1.9,2.8,4,1.83,3.2,3.75,1.91,3,4,1.909,3,4,1.9,3,3.75,1.9,1.78,D. Preschern,10,10,6,4,23,22,5,5,3,5,0,1,2.5,2.87,3,2.5,2.8,2.9,2.45,2.85,2.9,2.4,2.7,2.9,2.4,2.88,2.8,2.6,2.8,2.8,2.5,2.8,2.75,2.5
I1,27-10-2002,Reggina,Torino,2,1,H,0,0,D,2.1,3,3.2,2.1,2.9,4.2,2,2.8,3.6,2.1,3,3.2,2.1,2.88,3.4,2.05,2.875,3.5,2.1,2.87,3.3,2,1.7,N. Ayroldi,11,9,5,5,19,21,2,7,2,2,0,1,1.66,3.4,5.5,1.67,3.2,5.4,1.65,3.25,5.25,1.65,3,5,1.67,3.2,5,1.7,3.3,4.75,1.61,3.1,5.5,1.67
I1,02-11-2002,Torino,Brescia,0,2,A,0,1,A,2.1,3,3.2,2.15,3,3.3,2.1,2.8,3.3,2,3,3.4,2.1,3,3.25,2.1,3,3.4,2.1,2.87,3.3,1.9,1.7,G. Paparesta,8,11,5,6,29,22,1,9,2,3,0,0,2.2,2.87,3.6,2.1,2.9,3.6,2.15,2.85,3.5,2.2,2.8,3.4,1.91,3,3.75,2,3,4,2.1,2.87,3.3,2.1
I1,02-11-2002,Udinese,Bologna,0,0,D,0,0,D,2.25,3,2.875,2.25,2.95,3.1,2.2,2.8,3.1,2.1,3,3.2,2.3,3,2.9,2.3,2.9,3.1,2.25,2.9,3,1.9,1.7,O. Girardi,11,17,8,7,24,16,4,8,0,3,0,0,2.1,3,3.75,2.2,2.85,3.4,2.15,2.9,3.4,2.2,2.9,3,2.25,2.88,3,2.2,2.88,3.4,2.15,2.87,3.25,2.2
