Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH
I1,03-11-2002,Atalanta,Piacenza,2,0,H,0,0,D,2.2,3,3,2.15,3,3.3,2.1,2.8,3.3,2.1,2.88,3.4,2.1,3,3.25,2.1,3,3.4,2.1,2.87,3.3,1.9,1.7,M. De Santis,18,12,10,7,15,18,5,0,4,3,0,0,2.75,2.87,2.75,2.9,2.8,2.5,2.8,2.85,2.55,2.6,2.8,2.6,2.62,2.88,2.5,2.8,2.8,2.6,2.75,2.8,2.5,2.5
I1,03-11-2002,Como,Inter,0,2,A,0,0,D,4.5,3.1,1.727,4.65,3.15,1.76,3.6,3.1,1.85,5,2.88,1.73,4.5,3,1.8,4.5,3.1,1.8,4.5,3.1,1.72,1.85,1.75,N. Rizzoli,17,8,7,1,13,10,7,1,1,0,0,0,1.2,5.5,17,1.17,6,13,1.17,5.5,15,1.15,6,12,1.14,5.5,15,1.17,6.5,15,1.2,5,11,1.17
I1,03-11-2002,Empoli,Lazio,1,2,A,1,1,D,2.875,3,2.25,3.15,3,2.2,3,2.9,2.2,3.2,3,2.1,3.1,3,2.2,3.2,3,2.2,3.2,3,2.1,1.9,1.7,L. Banti,21,5,10,4,13,11,11,0,0,2,0,0,1.53,3.5,7,1.55,3.2,7,1.5,3.4,7,1.55,3.3,5.2,1.53,3.25,6,1.53,3.5,6,1.5,3.3,6.5,1.53
I1,03-11-2002,Milan,Reggina,2,0,H,1,0,H,1.25,4.5,10,1.25,4.75,11,1.2,5,10,1.25,4.5,10,1.25,4.5,10,1.25,4.75,10,1.22,4.5,12,1.6,2.05,E. Morganti,15,5,9,4,19,17,14,5,2,3,0,1,1.53,3.5,7,1.45,3.7,7.15,1.5,3.6,6.25,1.5,3.4,5.6,1.44,3.5,7,1.5,3.6,6.5,1.44,3.5,7,1.53
I1,03-11-2002,Modena,Juventus,0,1,A,0,0,D,4,3.1,1.8,4.65,3.15,1.77,4,3.2,1.75,4.33,3.2,1.73,4.5,3,1.8,4.5,3.1,1.8,4,3,1.83,1.75,1.85,M. Bergonzi,14,8,10,4,24,26,6,1,2,4,0,0,1.16,5.5,13,1.15,6,16,1.18,5.5,14,1.2,5,10,1.14,5.5,15,1.18,6,15,1.16,5.5,12,1.14
I1,03-11-2002,Parma,Chievo,0,1,A,0,0,D,1.727,3.2,4.333,1.81,3.1,4.4,1.75,3.1,4.2,1.8,3.2,4,1.83,3.25,3.75,1.909,3.1,3.8,1.72,3.1,4.5,1.65,1.95,P. Tagliavento,11,13,6,8,16,19,3,6,2,4,0,1,2.75,2.75,2.6,2.7,2.9,2.6,2.6,2.9,2.7,2.5,2.8,2.7,2.38,3,2.75,2.7,3,2.62,2.6,2.8,2.6,2.7
I1,03-11-2002,Roma,Perugia,2,2,D,0,2,A,1.333,4,8,1.31,4.45,9.5,1.35,3.7,7.5,1.33,4,8,1.3,4.33,8.5,1.333,4.333,8,1.3,4,9.5,1.65,1.95,M. Saccani,13,13,9,7,17,19,4,9,2,1,0,0,3.2,2.87,2.2,3.45,3,2.1,3.3,3,2.15,3.2,2.7,2.2,3,2.88,2.25,3.4,3,2.1,3.1,2.87,2.2,3.2
I1,06-11-2002,Atalanta,Modena,1,3,A,0,2,A,2,3,3.4,2.06,3.2,3.55,1.9,2.9,3.8,2,3,3.4,1.91,3.1,3.75,1.909,3.1,3.75,2,2.87,3.6,1.9,1.7,D. Messina,10,9,5,4,15,16,6,3,1,1,0,0,5.5,3.5,1.53,6.85,3.5,1.5,6.5,3.3,1.57,5.5,3.3,1.6,6,3.25,1.53,6.5,3.4,1.57,6,3.25,1.53,6.5
I1,06-11-2002,Chievo,Perugia,3,0,H,2,0,H,1.727,3.2,4.333,1.8,3.33,4.5,1.8,3,4,1.67,3.25,4.5,1.67,3.25,4.75,1.667,3.25,4.75,1.66,3.3,4.5,1.68,1.95,T. Pieri,7,8,4,4,12,17,4,11,0,3,1,0,3.2,2.8,2.25,3.2,3.1,2.15,3.3,3,2.15,3.1,2.8,2.2,3,3,2.2,3.2,3,2.2,3.25,2.87,2.15,3.2
I1,06-11-2002,Empoli,Inter,3,4,A,1,2,A,4.333,3.2,1.727,4.25,3.33,1.98,3.3,3,2,4.33,3.2,1.73,4.33,3.25,1.73,4.333,3.2,1.75,4.2,3,1.8,1.85,1.8,P. Rodomonti,15,5,11,1,20,16,4,2,1,0,0,1,1.25,5,9,1.22,5.5,10.5,1.25,4.75,11,1.3,4.2,8,1.29,4.33,9,1.25,5,12,1.25,5,8,1.25
I1,06-11-2002,Milan,Udinese,1,0,H,0,0,D,1.286,4.333,9,1.26,4.75,9.5,1.3,4.2,8,1.3,4,9,1.29,4.33,9,1.286,4.333,9,1.28,4.33,8.5,1.7,2,N. Rizzoli,10,12,9,4,15,21,8,7,1,3,0,0,2.5,2.87,2.75,2.6,2.9,2.7,2.65,2.9,2.65,2.5,2.9,2.8,2.38,3,2.75,2.6,3,2.6,2.5,2.9,2.62,2.7
I1,06-11-2002,Parma,Brescia,4,3,H,2,2,D,1.615,3.25,5,1.7,3.43,5.4,1.7,3.2,4.2,1.57,3.25,5.5,1.67,3.2,5,1.667,3.2,5,1.57,3.3,5.5,1.77,1.9,G. Rocchi,9,7,6,5,26,20,4,3,3,3,1,0,1.72,3.2,4.5,1.72,3,5.5,1.7,3,5.5,1.65,3.1,4.8,1.73,2.88,5,1.7,3.2,5,1.7,3,5,1.62
I1,06-11-2002,Piacenza,Juventus,0,1,A,0,0,D,4.5,3.1,1.727,4.45,3.33,1.85,3.8,3.1,1.8,4.33,3.2,1.73,4.5,3.2,1.73,4.5,3.2,1.727,4,3,1.83,1.93,1.75,A. Giannoccaro,5,13,2,4,16,37,1,7,3,5,0,0,1.66,3.2,5,1.7,3,5.65,1.65,3.1,5.8,1.7,3.1,4.4,1.67,2.88,5.5,1.67,3,6,1.61,3.1,5.5,1.57
I1,06-11-2002,Reggina,Lazio,0,3,A,0,2,A,3.3,3.1,2,3.65,3.15,2.1,3,2.9,2.2,3.2,3,2.1,3.4,3.1,2,3.4,3.1,2,3.6,2.87,2,1.9,1.7,M. Trefoloni,12,9,8,4,12,25,4,3,2,4,0,1,2.1,2.8,3.5,2.1,3,3.45,2.1,3,3.4,2.2,2.9,3,2.1,3,3.2,2.1,3,3.4,2.15,2.87,3.25,2.2
I1,06-11-2002,Roma,Como,2,1,H,1,0,H,1.286,4.333,9,1.28,4.54,9.9,1.3,4.2,8,1.29,4.33,9,1.25,4.5,10,1.25,4.6,10,1.28,4,10,1.7,1.93,E. Morganti,11,9,6,4,12,17,6,5,1,2,0,0,1.5,3.6,7.5,1.45,3.9,6.5,1.5,3.75,6,1.45,3.5,6,1.44,3.6,6.5,1.53,3.6,6.5,1.5,3.3,6.5,1.5
I1,06-11-2002,Torino,Bologna,2,1,H,1,1,D,2.5,2.875,2.625,2.68,2.85,2.85,2.3,2.8,2.9,2.25,2.88,3,2.5,3,2.62,2.5,3,2.625,2.5,2.8,2.75,2.02,1.65,L. Banti,10,6,3,2,16,12,3,4,3,1,1,1,1.9,3,4.5,1.9,3.15,3.95,1.9,3.1,4,1.9,2.8,4,2,3,3.4,1.91,3.1,4,1.9,3,3.75,2
I1,09-11-2002,Inter,Udinese,1,2,A,1,1,D,1.25,4.5,10,1.37,4.4,9.5,1.35,4,7,1.33,4,8,1.29,4.5,8.5,1.364,3.8,8.5,1.25,4.5,10,1.7,1.9,P. Mazzoleni,12,5,5,2,24,29,10,1,1,3,0,0,1.8,3.1,5,1.7,3.25,4.9,1.7,3.2,4.9,1.7,3,4.6,1.73,2.88,5,1.73,3.2,4.75,1.7,3,5,1.73
I1,09-11-2002,Piacenza,Roma,1,1,D,1,1,D,3.75,3,1.9,3.9,3.2,2.05,3.5,3.1,1.9,3.5,3.2,1.91,3.6,3.2,1.91,3.5,3.2,2,4,2.87,1.9,1.78,1.92,S. Racalbuto,5,17,2,9,30,27,9,5,1,0,0,0,7,3.75,1.5,7,3.6,1.47,7.25,3.5,1.47,6,3.6,1.5,7,3.75,1.4,7,3.4,1.5,6,3.4,1.5,6.5
I1,10-11-2002,Bologna,Como,1,0,H,0,0,D,1.5,3.4,6,1.6,3.55,6,1.6,3.3,4.8,1.5,3.25,6.5,1.5,3.4,6.5,1.533,3.4,6,1.5,3.3,6.5,1.9,1.8,P. Bertini,15,7,6,1,21,20,10,7,2,2,1,1,1.9,3.1,4.33,1.83,3,4.55,1.8,3.1,4.5,1.8,2.9,4.2,1.73,3.2,4.33,1.8,3.1,4.5,1.8,3,4.2,1.91
I1,10-11-2002,Brescia,Empoli,0,2,A,0,0,D,1.9,3,3.75,2.04,3.1,3.8,2,2.9,3.4,1.91,3.2,3.5,1.91,3.2,3.6,1.909,3.2,3.75,1.9,3.1,3.6,1.75,2.02,S. Farina,16,8,11,4,19,18,6,6,1,3,0,0,1.4,4,9,1.35,4.2,8.25,1.33,4.3,8.5,1.4,3.8,7,1.3,4,9,1.36,4.2,9,1.33,4,8,1.3
I1,10-11-2002,Chievo,Atalanta,4,1,H,1,1,D,1.57,3.25,5.5,1.65,3.4,5.5,1.6,3.3,4.8,1.62,3.25,5,1.57,3.4,5.5,1.571,3.3,6,1.53,3.4,5.5,1.71,2.05,G. Paparesta,14,6,4,2,28,21,3,3,3,2,0,0,2.4,2.87,3.2,2.45,2.9,2.9,2.35,2.85,3.05,2.4,2.8,3,2.4,2.8,2.88,2.5,3,2.88,2.4,2.8,2.87,2.3
I1,10-11-2002,Juventus,Milan,2,1,H,2,1,H,2.25,2.87,3,2.36,3.08,3.1,2.2,2.8,3.1,2.25,2.88,3,2.25,3,3,2.25,3,3.1,2.2,2.87,3.1,1.9,1.75,O. Girardi,11,15,8,8,20,23,5,2,2,5,1,0,1.66,3.4,5.5,1.65,3.25,5.35,1.65,3.2,5.25,1.65,3.1,4.8,1.62,3.25,5,1.7,3.2,5,1.57,3.3,5.5,1.62
I1,10-11-2002,Lazio,Parma,0,0,D,0,0,D,1.61,3.25,5,1.78,3.4,4.4,1.75,3.2,4,1.62,3.25,5,1.67,3.25,5,1.75,3.2,4.5,1.61,3.3,5,1.8,1.96,F. Squillace,17,10,6,4,19,17,10,3,1,2,0,0,2.37,2.75,3.4,2.2,2.95,3.3,2.2,3,3.2,2.5,2.8,2.7,2.25,2.88,3,2.25,2.88,3.2,2.3,2.9,2.9,2.3
I1,10-11-2002,Perugia,Torino,2,1,H,1,0,H,1.8,3,4.2,1.9,3.16,5,1.8,3,4,1.73,3.2,4.33,1.73,3.25,4.33,1.75,3.2,4.5,1.72,3.1,4.5,1.9,1.8,D. Tombolini,9,17,4,10,20,20,1,8,2,3,0,0,3.75,3,2.1,3.7,3.1,1.97,3.6,3.1,2,3.3,2.9,2.2,3.4,3,2,3.6,3.1,2.1,3.5,2.87,2.05,3.2
I1,10-11-2002,Reggina,Modena,0,1,A,0,0,D,2.1,3,3.2,2.22,3.12,3.75,2,2.9,3.4,1.83,3.2,3.75,2,3.2,3.3,2,3.1,3.6,2,2.87,3.6,1.95,1.78,A. De Marco,7,8,4,4,17,19,3,9,1,0,0,0,3.4,3,2.2,3.3,2.85,2.25,3.2,3,2.2,3.1,2.8,2.2,3,2.88,2.25,3.3,3.1,2.1,3.2,3.1,2.05,3.2
I1,16-11-2002,Bologna,Perugia,2,1,H,2,1,H,1.615,3.25,5,1.71,3.25,5.25,1.65,3.1,4.8,1.62,3.25,5,1.67,3.25,5,1.667,3.25,5,1.66,3.1,5,1.75,1.85,L. Palanca,14,5,5,3,16,25,8,2,2,3,0,0,2.37,2.75,3.4,2.3,2.9,3.15,2.3,2.95,3.05,2.4,2.8,2.8,2.38,3,2.75,2.3,3,3,2.3,2.9,2.9,2.25
I1,16-11-2002,Roma,Inter,2,2,D,0,0,D,2.375,2.875,2.8,2.35,2.9,3,2.3,2.8,2.9,2.38,2.88,2.8,2.3,3,2.9,2.3,3,3,2.3,2.9,2.9,1.83,1.8,M. Trefoloni,8,16,4,8,13,13,5,10,0,1,0,0,6.5,3.5,1.57,6.75,3.4,1.52,6.45,3.3,1.55,5,3.2,1.6,6.5,3.25,1.5,6.5,3.25,1.57,6,3.25,1.53,6.5
I1,17-11-2002,Atalanta,Brescia,2,0,H,0,0,D,2.2,3,3,2.3,2.95,3.15,2.2,2.9,3,2.2,3.2,2.8,2.25,3,3,2.25,3,3.1,2.2,2.87,3.1,1.72,1.9,R. Rosetti,15,9,9,5,16,20,9,2,2,3,1,1,1.61,3.4,6,1.55,3.45,6.15,1.55,3.45,5.85,1.65,3.1,4.8,1.57,3.25,5.5,1.6,3.5,6,1.57,3.5,5,1.57
I1,17-11-2002,Como,Lazio,1,3,A,1,1,D,3.5,3.2,1.909,3.75,3.15,2,3.1,3,2.1,4,3.2,1.8,3.75,3.2,1.83,3.75,3.2,1.909,3.6,3.1,1.9,1.9,1.7,A. Dattilo,14,12,9,4,24,25,3,7,0,2,0,0,1.4,4,9,1.35,4.1,9,1.37,3.85,8.5,1.4,3.7,6.5,1.36,3.75,8,1.36,4,8.5,1.36,3.75,8,1.44
I1,17-11-2002,Empoli,Reggina,4,2,H,2,1,H,1.8,3,4.2,1.8,3.1,4.45,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.1,4.33,1.8,3.1,4.333,1.72,3.1,4.5,1.9,1.7,N. Ayroldi,,,,,,,,,1,3,0,0,2,3,4,2,3.1,3.65,1.9,3.1,3.9,1.85,2.9,4,1.83,3,4,1.83,3.2,4.2,1.8,3.1,4,2
I1,17-11-2002,Milan,Parma,2,1,H,0,0,D,1.533,3.4,5.5,1.55,3.45,6,1.6,3.2,5,1.5,3.4,6,1.53,3.4,6,1.533,3.5,6,1.53,3.4,5.5,1.7,1.9,C. Brighi,10,12,4,5,13,16,2,7,3,3,1,0,1.57,3.5,6.5,1.5,3.5,6.9,1.53,3.4,6.35,1.5,3.4,5.6,1.57,3.25,5.5,1.53,3.4,6.5,1.5,3.4,6,1.5
I1,17-11-2002,Modena,Piacenza,1,0,H,1,0,H,1.909,3,3.75,2.1,3.1,3.6,1.9,3,3.6,1.8,3.2,4,1.91,3,4,1.909,3,4,1.8,3.1,4,1.9,1.7,D. Messina,11,14,5,8,15,22,4,3,1,4,0,0,2,3,4,1.95,3.1,3.8,1.85,3.1,4.15,1.9,2.9,3.8,1.83,3.2,3.75,1.91,3.1,4,1.83,3,4,1.91
I1,17-11-2002,Torino,Juventus,0,4,A,0,2,A,5,3.25,1.615,5.25,3.25,1.7,4.4,3.1,1.7,5,3.25,1.62,5,3.25,1.67,5,3.25,1.667,5,3.1,1.66,1.8,1.8,O. Pantana,10,5,5,3,14,20,8,3,1,3,0,0,1.72,3.3,5,1.75,3.1,4.9,1.7,3.2,4.85,1.75,3,4.4,1.73,3.2,4.33,1.75,3.2,4.6,1.72,3.1,4.5,1.73
I1,17-11-2002,Udinese,Chievo,2,1,H,2,0,H,2.25,3,2.875,2.3,2.95,3.15,2.2,2.8,3.1,2.2,3.2,2.8,2.25,3.2,2.75,2.25,3.2,2.875,2.25,3,2.87,1.85,1.76,M. De Santis,13,8,7,4,12,21,8,2,5,1,0,0,3,3,2.4,2.8,3,2.45,2.8,3.1,2.35,2.8,2.8,2.4,2.75,3,2.38,2.88,3,2.4,2.7,3,2.37,2.88
I1,23-11-2002,Juventus,Bologna,1,1,D,0,0,D,1.444,3.5,7,1.5,3.58,7.45,1.45,3.6,5.8,1.4,3.75,7,1.44,3.6,7,1.444,3.6,7,1.4,3.5,8,1.85,1.85,P. Bertini,7,4,4,3,26,26,6,2,2,3,0,0,2.37,2.75,3,2.45,2.9,2.9,2.4,2.85,3,2.2,2.9,3.3,2.38,2.8,2.88,2.5,2.88,3,2.3,2.9,2.9,2.3
I1,23-11-2002,Milan,Inter,1,0,H,1,0,H,2.625,2.75,2.625,2.55,2.9,2.75,2.6,2.8,2.6,2.5,2.88,2.62,2.5,2.88,2.75,2.5,2.875,2.75,2.6,2.8,2.6,1.77,1.85,S. Farina,11,12,8,7,13,20,4,8,1,2,0,0,3,3,2.25,3.4,3.05,2.1,3.2,3,2.2,3.3,2.9,2.2,3.2,3.2,2,3.2,3.1,2.25,2.87,3,2.25,3.1
I1,24-11-2002,Brescia,Udinese,1,1,D,0,1,A,2.25,2.875,3,2.28,3.05,3,2.2,2.8,3.1,2.25,3,2.88,2.25,3.1,2.88,2.25,3.1,2.875,2.25,3,2.87,1.85,1.77,N. Stefanini,14,7,6,4,13,21,6,2,2,1,0,0,1.83,3,4.33,1.85,3,4.45,1.83,3,4.5,1.85,2.8,4.2,1.91,3,3.75,1.85,3.1,4.2,1.8,3.1,4,1.83
I1,24-11-2002,Chievo,Empoli,1,0,H,1,0,H,1.8,3,4.333,1.85,3.2,4.05,1.85,3,3.8,1.8,3.25,3.75,1.73,3.2,4.5,1.75,3.2,4.333,1.8,3.25,3.8,1.67,1.95,M. Gabriele,7,11,4,6,22,14,4,5,3,3,0,2,1.36,4,7.5,1.36,4,8.75,1.38,3.85,8.5,1.45,3.6,5.8,1.4,3.75,7,1.36,4.1,9.5,1.36,3.75,8,1.36
I1,24-11-2002,Lazio,Modena,4,0,H,2,0,H,1.5,3.25,6.5,1.51,3.65,6.6,1.45,3.6,5.8,1.44,3.6,6.5,1.53,3.4,6,1.533,3.4,6,1.44,3.5,7,1.72,1.95,M. Mazzoleni,14,10,6,5,22,25,5,3,2,4,0,0,2,3,3.5,2.15,2.9,3.45,2.1,2.95,3.5,2.1,2.9,3.2,2,3,3.4,2.1,3,3.4,2.05,2.9,3.4,2.2
I1,24-11-2002,Parma,Roma,3,0,H,2,0,H,2.5,2.875,2.625,2.6,3,2.64,2.6,2.7,2.7,2.38,2.88,2.8,2.5,2.88,2.75,2.5,2.875,2.75,2.5,2.9,2.62,1.8,1.85,M. Saccani,7,8,3,5,15,13,3,5,1,1,0,0,1.72,3.25,4.33,1.77,3.1,4.75,1.8,3.15,4.33,1.7,3.1,4.4,1.67,3.25,4.5,1.8,3.2,4.33,1.7,3.2,4.5,1.73
I1,24-11-2002,Perugia,Como,3,0,H,1,0,H,1.667,3.3,4.5,1.73,3.2,5.1,1.7,3,4.6,1.62,3.25,5,1.73,3.2,4.5,1.727,3.2,4.5,1.61,3.3,5,1.92,1.75,G. Rocchi,12,5,5,2,23,20,3,4,2,4,0,0,2.6,2.87,2.6,2.55,2.9,2.75,2.65,2.9,2.65,2.6,2.8,2.6,2.75,3,2.38,2.7,2.9,2.6,2.75,2.9,2.4,2.62
I1,24-11-2002,Piacenza,Torino,1,0,H,1,0,H,1.833,3,4,1.9,3.1,3.98,1.85,3,3.8,1.91,3.2,3.5,1.91,3.1,3.75,1.909,3.1,3.75,1.9,3,3.75,1.9,1.75,N. Rizzoli,13,9,8,5,19,15,9,2,1,3,1,0,1.44,3.75,6.5,1.45,3.65,7.5,1.45,3.65,7.25,1.55,3.4,6,1.44,3.6,6.5,1.5,3.6,6.5,1.44,3.6,6.5,1.5
I1,24-11-2002,Reggina,Atalanta,1,1,D,0,1,A,2,3,3.4,2.1,3.05,3.4,2,2.9,3.4,2,3,3.4,2.2,3.2,2.88,2.2,2.875,3.2,2.1,2.87,3.3,1.89,1.75,M. Bergonzi,7,10,3,4,23,18,3,7,2,1,0,0,2.4,2.9,2.8,2.37,2.9,3,2.55,2.85,2.8,2.6,2.8,2.6,2.6,3,2.5,2.6,3,2.6,2.6,2.8,2.6,2.62
I1,30-11-2002,Reggina,Chievo,1,1,D,1,0,H,2.625,3.1,2.375,2.55,2.95,2.65,2.5,2.8,2.7,2.5,2.88,2.62,2.6,3,2.5,2.6,3,2.5,2.6,3.1,2.4,1.75,1.88,P. Rodomonti,10,9,2,3,31,28,6,6,2,2,0,0,2,3,3.5,2.05,3.1,3.5,2,3,3.75,2,3,3.6,1.8,3.2,4,2,3,4,1.95,3,3.6,2
I1,01-12-2002,Atalanta,Perugia,0,2,A,0,1,A,1.909,3,3.75,1.95,3.05,3.75,2,2.9,3.4,2,3,3.4,2,3.1,3.4,2,3.1,3.4,2,3,3.4,1.75,1.85,A. Romeo,12,11,8,4,23,17,3,7,1,1,0,0,2,2.75,4,2,2.85,4.05,1.95,2.95,4,1.9,2.7,4.2,1.8,3,4.33,1.95,2.95,4,1.9,2.87,4,1.91
I1,01-12-2002,Bologna,Modena,3,0,H,0,0,D,1.727,3.1,4.5,1.7,3.15,5,1.75,3,4.4,1.62,3.25,5,,,,1.667,3.25,4.75,1.66,3.1,5,1.8,1.8,D. Messina,7,9,3,3,16,18,3,8,2,3,0,0,3.6,3.1,2.1,3.5,3.1,2.05,3.45,3.1,2.05,3.2,2.8,2.3,3.2,3,2.1,3.5,3.1,2.1,3.3,2.87,2.1,3.2
I1,01-12-2002,Empoli,Milan,1,1,D,1,0,H,4.333,3.2,1.727,4.75,3.2,1.8,3.8,3.1,1.8,4,3.2,1.8,4,3.25,1.8,4,3.25,1.8,4.5,3.1,1.72,1.7,1.9,A. Dattilo,5,11,3,5,17,13,6,3,2,1,0,0,3.5,3,2,3.85,2.95,2,3.65,3.05,2,3.5,2.7,2.1,3.4,3,2,3.6,3.1,2,3.75,3,1.9,3.6
I1,01-12-2002,Inter,Brescia,4,0,H,2,0,H,1.286,4.5,8,1.35,4.46,8,1.35,3.8,7.5,1.3,4,9,1.3,4.33,8.5,1.3,4.333,8.5,1.28,4.5,8,1.65,1.95,E. Morganti,14,7,7,2,19,23,6,1,2,4,0,0,1.9,3,3.8,1.85,3.05,4.35,1.85,3.05,4.33,1.9,2.9,3.8,1.8,3,4.33,1.85,3.1,4.2,1.83,2.87,4.33,1.73
I1,01-12-2002,Piacenza,Lazio,2,3,A,2,2,D,4,3.1,1.8,3.8,3.2,1.9,3.6,3,1.9,4,3,1.83,4,3.2,1.8,4,3.2,1.8,3.75,3,1.9,1.8,1.8,C. Brighi,18,7,7,3,21,19,8,5,3,2,0,1,1.25,4.5,11,1.25,5,10,1.24,5,11,1.25,4.5,9,1.25,4.5,10,1.22,5.5,12,1.25,4.5,10,1.25
I1,01-12-2002,Roma,Juventus,2,2,D,2,1,H,2.5,2.875,2.625,2.56,2.95,2.65,2.7,2.6,2.7,2.5,2.88,2.62,2.6,2.88,2.6,2.6,2.875,2.6,2.5,2.9,2.62,1.8,1.8,P. Dondarini,11,9,7,5,24,11,7,3,4,2,0,0,3.2,3.2,2.2,3.25,3.05,2.15,3.3,3,2.15,3.2,2.8,2.3,3.2,2.8,2.2,3.2,3,2.2,3.1,2.87,2.2,3.25
I1,01-12-2002,Torino,Parma,0,4,A,0,2,A,2.7,3,2.4,2.7,2.95,2.5,2.7,2.8,2.5,2.5,2.88,2.62,2.6,3,2.5,2.6,3,2.5,2.6,2.8,2.6,1.8,1.8,P. Bertini,7,4,4,3,26,26,6,2,2,3,0,0,1.36,4.33,9,1.32,4.5,8.5,1.35,4.15,8.5,1.37,3.8,7.5,1.33,3.75,9,1.36,4.33,8.5,1.33,4,8,1.4
I1,07-12-2002,Lazio,Inter,3,3,D,3,1,H,2.375,2.875,2.8,2.42,3,2.82,2.1,2.8,3.3,2.38,2.88,2.8,2.5,2.88,2.75,2.5,2.875,2.75,2.37,2.9,2.8,1.75,1.85,M. Trefoloni,15,8,7,3,18,19,6,4,2,4,0,0,2.2,3,3.5,2.15,2.9,3.4,2.1,2.95,3.5,2.2,2.8,3.4,2.1,3,3.2,2.1,3.1,3.5,2.1,2.87,3.3,2
I1,07-12-2002,Milan,Roma,1,0,H,0,0,D,1.8,3.1,4,1.82,3.15,4.18,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.2,4,1.8,3.2,4,1.8,3.1,4,1.8,1.8,P. Tagliavento,5,10,3,4,20,20,6,3,1,3,0,0,1.8,3.25,4,1.8,3.05,4.6,1.75,3.25,4.5,1.75,3,4.4,1.8,3,4.33,1.73,3.25,4.6,1.83,3,4,1.8
I1,08-12-2002,Brescia,Juventus,2,0,H,0,0,D,4.5,3.25,1.667,4.6,3.2,1.75,4.2,3.1,1.75,5,2.88,1.73,4.5,3.1,1.73,4.5,3.1,1.75,4.5,3.1,1.72,1.8,1.8,D. Tombolini,13,8,5,5,28,18,10,1,3,3,0,1,2.25,2.8,3.2,2.35,2.85,3.1,2.25,2.9,3.2,2.3,2.8,2.9,2.2,3,3,2.25,3,3.1,2.25,2.87,3,2.1
I1,08-12-2002,Chievo,Bologna,0,0,D,0,0,D,2,2.875,3.6,2.08,3,3.5,2.1,2.8,3.3,2,3,3.4,2,3,3.5,2,3,3.5,2,3,3.4,1.8,1.8,G. Paparesta,9,9,3,6,31,21,3,6,3,3,0,1,2.75,3,2.37,3.05,2.95,2.3,3.1,2.9,2.3,3.2,2.9,2.2,3.2,3,2.1,3.3,3,2.25,2.9,2.9,2.3,3.2
I1,08-12-2002,Modena,Como,1,1,D,0,0,D,1.667,3.25,4.5,1.75,3.25,4.85,1.75,3.1,4.2,1.62,3.25,5,1.67,3.2,5,1.667,3.2,5,1.61,3.3,5,1.9,1.7,M. De Santis,18,5,11,3,20,21,10,0,3,3,0,0,1.57,3.4,5.5,1.57,3.25,6,1.6,3.25,6,1.65,3.2,4.6,1.67,3,5.5,1.62,3.4,6,1.6,3,6,1.62
I1,08-12-2002,Parma,Reggina,2,0,H,0,0,D,1.444,3.5,7,1.45,3.75,7,1.4,3.7,6.5,1.44,3.6,6.5,1.5,3.5,6,1.5,3.5,6,1.44,3.3,7.5,1.7,1.9,M. Bergonzi,11,10,6,4,18,21,10,6,0,3,0,0,1.61,3.2,5.5,1.65,3.1,5.75,1.65,3.2,5.5,1.7,3.1,4.4,1.62,3.2,5.5,1.67,3.1,5.5,1.61,3.1,5.5,1.62
